row_id,data_year,building_id,property_name,reporting_status,address,zip_code,chicago_energy_rating,exempt_from_chicago_energy_rating,community_area,primary_property_type,gross_floor_area,year_built,number_of_buildings,energy_star_score,electricity_use,natural_gas_use,site_eui,source_eui,weather_normalized_site_eui,weather_normalized_source_eui,total_ghg_emissions,ghg_intensity,lat,lon,loc
2020-252064,2020,252064,Mansueto Library,Submitted Data,1100 E 57th St,60637,2,FALSE,HYDE PARK,Library,64028,2009,1,0,2384738.9,0,240.8,323.6,246,329.9,1160.9,18.1,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
2020-232458,2020,232458,Harper Square Cooperative,Submitted Data,4800 - 4850 S Lake Park Ave,60615,1,FALSE,KENWOOD,Multifamily Housing,627680,1974,1,22,16397682.8,43537490.6,95.5,146,100.3,150.7,4871.7,7.8,41.80747487,-87.59126397,"(41.80747487, -87.59126397)"
2020-254616,2020,254616,Former Coyne College,Submitted Data,330 N Green St,60607,2,FALSE,NEAR WEST SIDE,Office,555524,2019,1,49,28606427.7,2199940.1,55.5,148.3,56.7,151.8,4581.4,8.2,41.873335,-87.65102071,"(41.873335, -87.65102071)"
2020-103812,2020,103812,400 W Superior St,Submitted Data,400 W Superior St,60654,3,FALSE,NEAR NORTH SIDE,Office,130007,1998,1,61,6489281.3,1493523.2,61.4,151.8,63,154.8,1092.1,8.4,41.89575232,-87.638901,"(41.89575232, -87.638901)"
2020-254073,2020,254073,Blue Moon Lofts,Submitted Data,215 N. Aberdeen St.,60607,4,FALSE,NEAR WEST SIDE,Multifamily Housing,83000,1908,1,100,1614582.3,825006.6,29.4,64.9,29.6,64.3,295.8,3.6,41.87429514,-87.65017516,"(41.87429514, -87.65017516)"
2020-254385,2020,254385,"Ambulatory Care Center, St. Bernard Hospital",Submitted Data,6307 S STEWART AVE,60621,2.5,FALSE,Englewood,Medical Office,98018,2016,1,59,4204723.5,2236782.3,96.7,211.9,98,212.8,775,11.6,41.77391183,-87.63872071,"(41.77391183, -87.63872071)"
2020-160214,2020,160214,Children's Memorial Hospital sub-building,Not Submitted,700 W Fullerton Ave,60614,0,FALSE,LINCOLN PARK,Medical Office,257400,0,1,0,0,0,0,0,0,0,0,0,41.92548708,-87.64643712,"(41.92548708, -87.64643712)"
2020-157607,2020,157607,Hilliard Homes Limited Partnership (Senior),Submitted Data,2111 S Clark Ave,60616,3.5,FALSE,NEAR SOUTH SIDE,Multifamily Housing,311326,1966,2,75,4993793,15777294.8,80.1,117.8,82.9,120.3,1617.4,6.2,41.853983,-87.630083,"(41.853983, -87.630083)"
2020-254329,2020,254329,901 South Plymouth Condominium Association,Submitted Data,901 S Plymouth Ct,60605,3.5,FALSE,Loop,Multifamily Housing,199600,1979,1,58,5821462.7,4643106.7,64.7,131,68.7,139.8,1155.2,7.1,41.8682103,-87.62733,"(41.8682103, -87.62733)"
2020-129621,2020,129621,Chalet Living and Rehab,Submitted Data,7350 7352 N SHERIDAN RD,60626,1,FALSE,ROGERS PARK,Senior Living Community,77004,1976,1,7,3786934.1,11175808,223.3,333.4,238,347.3,1184.6,17.7,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2020-250020,2020,250020,Gage Park,Submitted Data,2411 W 55th St,60632,2,FALSE,GAGE PARK,Other - Recreation,64960,1926,1,0,847144,6955745.2,132.3,164.1,142.2,174.5,501.7,8.5,41.79382847,-87.68432907,"(41.79382847, -87.68432907)"
2020-254001,2020,254001,Gage Park,Submitted Data,4434 4444 N Damen Ave,60625,2.5,FALSE,North Center,Multifamily Housing,53800,2006,1,51,2985049.6,5693982,78.2,129.2,81.2,133.1,768.3,6.9,41.9720897,-87.70256,"(41.9720897, -87.70256)"
2020-251757,2020,251757,"Thorp Scholastic Academy, Ole A -CPS",Submitted Data,6024 W Warwick Ave,60634,4,FALSE,DUNNING,K-12 School,93200,1918,1,61,1246831.5,5832379.9,76,103.2,86.5,114.3,504.4,5.4,41.94895308,-87.77785435,"(41.94895308, -87.77785435)"
